,station_ID,Date,Time,Day,Month,Year,TC,TdC,Hr,ddd,ffkmh,Precmm,Prechrs,Nt,Nh,HKm,Viskm
2,63680,31/12/2021 06:00,06:00:00,31,12,2021,18,17.7,98,CAL,0,22.0/24h,24h,8,6,0.3,5
3,63680,30/12/2021 09:00,09:00:00,30,12,2021,23.8,18.9,74,CAL,0,0.0/3h,3h,7,4,0.6,7
4,63680,28/12/2021 09:00,09:00:00,28,12,2021,23.4,18.3,73,CAL,0,0.0/3h,3h,7,2,0.3,6
5,63680,28/12/2021 06:00,06:00:00,28,12,2021,23.4,18.3,73,CAL,0,0.0/24h,24h,7,2,0.3,6
6,63680,25/12/2021 12:00,12:00:00,25,12,2021,21.5,19.3,87,CAL,0,4.0/6h,6h,8,5,0.3,7
7,63680,25/12/2021 09:00,09:00:00,25,12,2021,26.5,18.9,63,NW,7.4,0.0/3h,3h,4,4,0.6,6
8,63680,25/12/2021 06:00,06:00:00,25,12,2021,26.5,18.9,63,NW,7.4,0.0/24h,24h,4,4,0.6,6
9,63680,24/12/2021 09:00,09:00:00,24,12,2021,27,18.9,59,CAL,0,0.0/3h,3h,4,4,0.6,9
10,63680,24/12/2021 06:00,06:00:00,24,12,2021,22.4,18.9,80,CAL,0,0.0/24h,24h,7,4,0.3,5
11,63680,22/12/2021 12:00,12:00:00,22,12,2021,28.5,18.9,51,SSE,7.4,0.0/6h,6h,5,5,0.6,10
12,63680,22/12/2021 09:00,09:00:00,22,12,2021,26.5,18.9,63,SSE,7.4,0.0/3h,3h,4,4,0.6,10
13,63680,22/12/2021 06:00,06:00:00,22,12,2021,26.5,18.9,63,SSE,7.4,0.0/24h,24h,4,4,0.6,10
14,63680,21/12/2021 12:00,12:00:00,21,12,2021,26,18.9,65,S,7.4,0.0/6h,6h,5,5,0.6,10
15,63680,21/12/2021 06:00,06:00:00,21,12,2021,22.5,18.9,80,CAL,0,0.0/24h,24h,6,2,0.3,5
16,63680,19/12/2021 12:00,12:00:00,19,12,2021,22,18.9,87,SSE,7.4,4.0/6h,6h,8,6,0.3,6
17,63680,19/12/2021 09:00,09:00:00,19,12,2021,23.5,18.9,80,CAL,0,0.0/3h,3h,7,5,0.6,8
18,63680,19/12/2021 06:00,06:00:00,19,12,2021,19.4,18.9,95,CAL,0,20.0/24h,24h,8,5,0.3,7
19,63680,18/12/2021 12:00,12:00:00,18,12,2021,20,18.9,98,SSE,14.8,0.0/6h,6h,8,6,0.3,6
20,63680,18/12/2021 06:00,06:00:00,18,12,2021,22,18.9,82,CAL,0,0.0/24h,24h,5,2,0.3,5
21,63680,10/12/2021 12:00,12:00:00,10,12,2021,26.4,18.9,63,S,7.4,0.0/6h,6h,5,5,0.6,10
22,63680,10/12/2021 09:00,09:00:00,10,12,2021,25,18.9,71,SSE,7.4,0.0/3h,3h,4,4,0.6,10
23,63680,10/12/2021 06:00,06:00:00,10,12,2021,20,18.9,93,CAL,0,3.0/24h,24h,7,5,0.3,5
24,63680,09/12/2021 09:00,09:00:00,9,12,2021,25.5,18.9,63,ESE,9.3,0.0/3h,3h,4,5,0.6,5
25,63680,09/12/2021 06:00,06:00:00,9,12,2021,26.4,18.9,60,SSE,3.7,0.0/24h,24h,5,5,0.6,9
26,63680,07/12/2021 12:00,12:00:00,7,12,2021,27,18.9,58,S,11.1,0.0/6h,6h,5,5,0.6,10
27,63680,07/12/2021 09:00,09:00:00,7,12,2021,26.3,18.9,59,CAL,0,0.0/3h,3h,2,2,0.6,9
28,63680,07/12/2021 06:00,06:00:00,7,12,2021,21.4,18.9,84,SSE,14.8,0.0/24h,24h,6,3,0.3,7
29,63680,06/12/2021 12:00,12:00:00,6,12,2021,27.6,18.9,55,S,7.4,0.0/6h,6h,4,4,0.6,10
30,63680,06/12/2021 09:00,09:00:00,6,12,2021,27.5,18.9,53,SSE,11.1,0.0/3h,3h,4,4,0.6,10
31,63680,06/12/2021 06:00,06:00:00,6,12,2021,21.5,18.9,87,CAL,0,0.0/24h,24h,5,2,0.3,4
32,63680,04/12/2021 12:00,12:00:00,4,12,2021,20,18.9,100,CAL,0,0.0/6h,6h,8,8,0.3,6
33,63680,04/12/2021 09:00,09:00:00,4,12,2021,26,18.9,63,SSE,7.4,0.0/3h,3h,6,6,0.6,10
34,63680,04/12/2021 06:00,06:00:00,4,12,2021,23.5,18.9,76,CAL,0,3.0/24h,24h,2,2,0.6,5
35,63680,03/12/2021 12:00,12:00:00,3,12,2021,25.6,18.9,63,SSE,7.4,0.0/6h,6h,6,6,0.6,9
36,63680,03/12/2021 09:00,09:00:00,3,12,2021,26.5,18.9,58,CAL,0,0.0/3h,3h,5,5,0.6,5
37,63680,03/12/2021 06:00,06:00:00,3,12,2021,21.4,18.9,88,NW,3.7,0.0/24h,24h,7,4,0.3,5
38,63680,01/12/2021 12:00,12:00:00,1,12,2021,23.6,18.9,68,E,3.7,0.3/6h,6h,7,4,0.6,9
39,63680,01/12/2021 06:00,06:00:00,1,12,2021,21.5,18.9,81,CAL,0,0.1/24h,24h,7,4,0.3,5
210,63680,30/11/2021 12:00,12:00:00,30,11,2021,26.4,18.9,61,S,7.4,0.0/6h,6h,4,4,0.6,10
310,63680,30/11/2021 09:00,09:00:00,30,11,2021,24.5,18.9,66,CAL,0,0.0/3h,3h,7,4,0.6,7
410,63680,30/11/2021 06:00,06:00:00,30,11,2021,21,18.9,91,CAL,0,NA,NA,7,4,0.3,5
57,63680,28/11/2021 12:00,12:00:00,28,11,2021,23.5,18.9,73,CAL,0,3.0/6h,6h,6,4,0.6,10
61,63680,28/11/2021 09:00,09:00:00,28,11,2021,24.2,18.9,75,CAL,0,0.0/3h,3h,7,4,0.6,6
71,63680,28/11/2021 06:00,06:00:00,28,11,2021,21,18.9,88,CAL,0,0.0/24h,24h,7,4,0.3,5
81,63680,27/11/2021 12:00,12:00:00,27,11,2021,26,18.9,55,SSE,7.4,0.0/6h,6h,4,4,0.6,10
91,63680,27/11/2021 09:00,09:00:00,27,11,2021,23.6,18.9,65,NW,3.7,0.0/3h,3h,4,2,0.6,10
101,63680,26/11/2021 12:00,12:00:00,26,11,2021,24.5,18.9,66,S,7.4,0.0/6h,6h,6,4,0.6,10
111,63680,26/11/2021 09:00,09:00:00,26,11,2021,22,18.9,80,W,3.7,0.2/3h,3h,7,5,0.3,8
121,63680,26/11/2021 06:00,06:00:00,26,11,2021,18,18.9,100,CAL,0,13.0/24h,24h,8,5,0.3,7
131,63680,25/11/2021 12:00,12:00:00,25,11,2021,29.2,18.9,50,E,7.4,0.0/6h,6h,5,5,0.6,10
141,63680,25/11/2021 09:00,09:00:00,25,11,2021,27.4,18.9,51,E,11.1,0.0/3h,3h,6,2,0.6,10
151,63680,25/11/2021 06:00,06:00:00,25,11,2021,22.4,18.9,72,CAL,0,0.0/24h,24h,2,2,0.3,5
161,63680,24/11/2021 12:00,12:00:00,24,11,2021,27.5,18.9,55,CAL,0,0.0/6h,6h,4,4,0.6,8
171,63680,24/11/2021 09:00,09:00:00,24,11,2021,26,18.9,58,NNE,3.7,0.0/3h,3h,6,4,0.6,7
181,63680,24/11/2021 06:00,06:00:00,24,11,2021,21.5,18.9,79,CAL,0,0.4/24h,24h,6,2,0.3,4
191,63680,23/11/2021 12:00,12:00:00,23,11,2021,29.5,18.9,46,NE,3.7,0.0/6h,6h,5,5,0.6,10
201,63680,23/11/2021 09:00,09:00:00,23,11,2021,27.5,18.9,60,ENE,3.7,0.0/3h,3h,4,4,0.6,9
211,63680,23/11/2021 06:00,06:00:00,23,11,2021,21.8,18.9,81,CAL,0,4.0/24h,24h,2,2,0.3,4
221,63680,22/11/2021 09:00,09:00:00,22,11,2021,25.2,18.9,62,W,7.4,0.0/3h,3h,4,4,0.6,10
231,63680,22/11/2021 06:00,06:00:00,22,11,2021,19.5,18.9,91,CAL,0,18.0/24h,24h,7,4,0.3,6
241,63680,21/11/2021 12:00,12:00:00,21,11,2021,24,18.9,67,SSE,5.6,0.0/6h,6h,5,5,0.6,10
251,63680,21/11/2021 06:00,06:00:00,21,11,2021,20.5,18.9,87,CAL,0,0.3/24h,24h,7,4,0.3,7
261,63680,20/11/2021 06:00,06:00:00,20,11,2021,19.5,18.9,96,WNW,7.2,0.5/24h,24h,7,4,0.3,5
271,63680,19/11/2021 06:00,06:00:00,19,11,2021,26,18.9,63,CAL,0,0.0/24h,24h,4,4,0.6,9
281,63680,18/11/2021 12:00,12:00:00,18,11,2021,26.2,18.9,62,CAL,0,0.0/6h,6h,4,4,0.6,9
291,63680,18/11/2021 09:00,09:00:00,18,11,2021,25,18.9,63,W,3.7,0.0/3h,3h,4,4,0.6,9
301,63680,18/11/2021 06:00,06:00:00,18,11,2021,20,18.9,87,W,7.4,0.1/24h,24h,7,4,0.3,7
311,63680,17/11/2021 09:00,09:00:00,17,11,2021,26.5,18.9,55,S,7.4,0.0/3h,3h,4,4,0.6,10
